epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,6064.92,1.94917,1.83983,1.75927,0.52592,0.43552,0.44784,0.20213,2.07923,1.93146,1.92674,0.000180073,0.000180073,0.000180073
83,6136.54,1.9606,1.84267,1.7598,0.54286,0.41552,0.43077,0.19538,2.11239,1.98885,1.94425,0.000171074,0.000171074,0.000171074
84,6208.14,1.94408,1.82814,1.73987,0.55371,0.40179,0.43769,0.19437,2.06575,1.93631,1.93071,0.000162075,0.000162075,0.000162075
85,6279.35,1.97133,1.8753,1.76952,0.51737,0.37801,0.41702,0.18678,2.09414,1.96694,1.93868,0.000153076,0.000153076,0.000153076
86,6350.25,1.94542,1.85764,1.73799,0.52211,0.40014,0.42533,0.19145,2.06096,1.9442,1.91071,0.000144077,0.000144077,0.000144077
87,6420.7,1.94814,1.85194,1.75601,0.51932,0.41144,0.43817,0.19398,2.07633,1.91014,1.93032,0.000135077,0.000135077,0.000135077
88,6491.79,1.95025,1.82999,1.76365,0.65684,0.36416,0.4524,0.20071,2.04889,1.88376,1.9122,0.000126078,0.000126078,0.000126078
89,6563.08,1.93146,1.85476,1.76033,0.57262,0.39848,0.4476,0.19974,2.0555,1.90074,1.91833,0.000117079,0.000117079,0.000117079
90,6634.56,1.91221,1.78451,1.72887,0.6085,0.38623,0.44176,0.1976,2.0648,1.90271,1.91886,0.00010808,0.00010808,0.00010808
91,6704.06,1.87801,1.90795,1.77969,0.58725,0.37763,0.43827,0.20169,2.04512,1.92224,1.8998,9.9081e-05,9.9081e-05,9.9081e-05
92,6773.62,1.86038,1.8904,1.74069,0.57744,0.37501,0.43577,0.19915,2.04989,1.96373,1.91188,9.00819e-05,9.00819e-05,9.00819e-05
93,6843.52,1.85638,1.81171,1.71441,0.57246,0.42391,0.45842,0.21254,2.04377,1.92947,1.90965,8.10828e-05,8.10828e-05,8.10828e-05
94,6912.77,1.83576,1.83116,1.76968,0.58473,0.41645,0.46046,0.21347,2.04078,1.91187,1.90969,7.20837e-05,7.20837e-05,7.20837e-05
95,6982.02,1.82884,1.76564,1.72119,0.55896,0.42532,0.45655,0.20775,2.05601,1.93682,1.91784,6.30846e-05,6.30846e-05,6.30846e-05
96,7051.5,1.82128,1.75364,1.70957,0.57783,0.42055,0.4596,0.20924,2.04437,1.92222,1.91088,5.40855e-05,5.40855e-05,5.40855e-05
97,7121.01,1.84389,1.74934,1.70428,0.61786,0.40452,0.46277,0.211,2.0431,1.90645,1.90901,4.50864e-05,4.50864e-05,4.50864e-05
98,7190.64,1.8241,1.74906,1.72566,0.59292,0.41439,0.46531,0.20977,2.03649,1.89724,1.90595,3.60873e-05,3.60873e-05,3.60873e-05
99,7259.9,1.80714,1.72423,1.71292,0.58368,0.41885,0.4679,0.21224,2.03904,1.89863,1.90746,2.70882e-05,2.70882e-05,2.70882e-05
100,7329.31,1.83094,1.80582,1.74474,0.56497,0.43407,0.46933,0.2128,2.03924,1.89689,1.90576,1.80891e-05,1.80891e-05,1.80891e-05
